"MODEL_CD","COUNTRY_CD","NEW_COUNTRY_SGN","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG"
"1J81011000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81011001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2019/03/07 4:31:16,,"PLAN_S_P_MM983T"
"1J81011001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81011001","120","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81012000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81012001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81012001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81013000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81013001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81013001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81014000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81014001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81014001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81014001","120","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81015000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81015001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81015001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81016000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81016001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81016001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81017000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2021/02/09 4:30:46,,"PLAN_S_P_MM983T"
"1J81017000","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81017001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2021/08/06 4:30:52,,"PLAN_S_P_MM983T"
"1J81017001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81017001","120","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81018051","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81019000","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81019000","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81019001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81019001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81020000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81020001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81020001","120","0",2021/08/17 20:20:31,,"PLAN_S_P_MM982T",2021/10/23 4:30:44,,"PLAN_S_P_MM983T"
"1J81021000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81021001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81022000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81022001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2020/01/25 4:30:55,,"PLAN_S_P_MM983T"
"1J81023000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81023001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81024000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81024001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2020/11/19 4:30:53,,"PLAN_S_P_MM983T"
"1J81025000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
