"MS_STATION","MS_LINE","MS_KOTEI","MS_ST_NAME","MS_SIJI_LVL","MS_KOTEI_SEQ","MS_PATURN","MS_KATA_KBN","MS_D_SERV","MS_D_TUKINO","MS_D_YOKUSI","MS_D_GATUDO","MS_D_RENBAN","MS_D_EDABAN","MS_D_IDNO","MS_D_YMD","MS_D_END","MS_U_SERV","MS_U_TUKINO","MS_U_YOKUSI","MS_U_GATUDO","MS_U_RENBAN","MS_U_EDABAN","MS_U_IDNO","MS_U_YMD","MS_U_END","MS_H_SERV","MS_H_TUKINO","MS_H_YOKUSI","MS_H_GATUDO","MS_H_RENBAN","MS_H_EDABAN","MS_H_IDNO","MS_H_YMD","MS_H_END","MS_U2_SERV","MS_U2_TUKINO","MS_U2_YOKUSI","MS_U2_GATUDO","MS_U2_RENBAN","MS_U2_EDABAN","MS_U2_IDNO","MS_U2_YMD","MS_U2_END","MS_PROC_FLG","MS_PROC_CODE","MS_PRE_STATION","MS_PASS","MS_PICK","MS_GROUP_C","MS_KIND","MS_KIND_NAME","MS_OUTSIDE","MS_INS_YMD","MS_UPD_YMD"
"208766","002080","ｶｸS","HP:作業指示33R","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"208769","002080","ｶｸS","HP:作業指示35L","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"208771","002080","ｶｸS","HP:作業指示36L","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"208774","002080","ｶｸS","HP:作業指示37R","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"208776","002080","ｶｸS","HP:作業指示38R","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"208779","002080","ｶｸS","HP:作業指示17L","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"208788","002080","ｶｸS","HP:作業指示44R","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"208789","002080","ｶｸS","HP:作業指示45L","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"250235","002500","pick","YP:ﾗｲﾝﾋﾟｯｷﾝｸﾞR側","2",1,"30","2","作業指示サーバ","20201002692",1,"202010",2692,0,"2867694",2020/10/13 0:00:00,"0","作業指示サーバ","20201002694","1","202010",2694,0,2867511,2020/10/13 0:00:00,"0","基幹サーバ","99999900000","1","999999",0,0,9999999,1996/10/16 0:00:00,"0"," "," "," ","      ",0,0,0,2015/07/23 0:00:00," ",0,"MS_C350N","250004",261,261,"NONGROUP  ","2","NEWPICK","0",2016/07/26 0:00:00,2020/10/13 0:00:00
"306223","003060","T3-2","OEM:新T3Pick2","3",1,"10","2","作業指示サーバ","20201008946",1,"202010",8946,0,"1558300",2020/10/13 0:00:00,"0","作業指示サーバ","20201003552","1","202010",3552,0,1550093,2020/10/05 0:00:00,"0","基幹サーバ","99999900000","1","999999",0,0,9999999,1999/12/31 0:00:00,"0"," "," "," ","      ",0,0,0,2007/09/18 0:00:00," ",0,"MS_C358C","306201",917,917,"NONGROUP  ","2","NEWPICK","0",2016/08/17 0:00:00,2020/10/13 0:00:00
